index,fips,year,temp,tempc
272464,41011,1984,51.5,10.833333333333334
272465,41011,1985,50.74166666666667,10.412037037037038
272466,41011,1986,53.083333333333336,11.712962962962964
272467,41011,1987,52.88333333333333,11.601851851851851
272468,41011,1988,52.25833333333333,11.254629629629628
272469,41011,1989,51.925,11.069444444444445
272470,41011,1990,51.975,11.09722222222222
272471,41011,1991,52.575,11.430555555555555
272472,41011,1992,54.55833333333334,12.53240740740741
272473,41011,1993,52.00833333333333,11.11574074074074
272474,41011,1994,52.25833333333333,11.254629629629628
272475,41011,1995,53.74166666666667,12.078703703703704
272476,41011,1996,53.1,11.72222222222222
272477,41011,1997,53.35833333333333,11.86574074074074
272478,41011,1998,52.45,11.361111111111107
272479,41011,1999,51.93333333333333,11.074074074074073
272480,41011,2000,52.43333333333333,11.351851851851851
272481,41011,2001,52.30833333333333,11.282407407407408
272482,41011,2002,52.9,11.61111111111111
272483,41011,2003,53.725,12.069444444444445
272484,41011,2004,53.891666666666666,12.162037037037036
272485,41011,2005,53.53333333333333,11.962962962962962
272486,41011,2006,52.74166666666667,11.523148148148149
272487,41011,2007,52.125,11.180555555555555
272488,41011,2008,51.60833333333333,10.89351851851852
272489,41011,2009,52.41666666666666,11.34259259259259
272490,41011,2010,52.15833333333333,11.199074074074073
272491,41011,2011,51.4,10.77777777777778
272492,41011,2012,51.975,11.09722222222222
272493,41011,2013,52.61666666666667,11.453703703703704
272494,41011,2014,55.25,12.916666666666666
272495,41011,2015,54.825,12.680555555555555
272496,41011,2016,54.075,12.263888888888893
272497,41011,2017,53.13333333333333,11.74074074074074
272498,41011,2018,53.29166666666666,11.828703703703702
272499,41011,2019,53.15833333333333,11.754629629629628
272500,41013,1895,42.31666666666667,5.731481481481484
272501,41013,1896,44.55833333333333,6.97685185185185
272502,41013,1897,43.65,6.472222222222221
272503,41013,1898,42.75,5.972222222222222
272504,41013,1899,41.475,5.263888888888889
272505,41013,1900,44.175,6.763888888888888
272506,41013,1901,43.80833333333334,6.560185185185187
272507,41013,1902,43.391666666666666,6.328703703703703
272508,41013,1903,43.925,6.624999999999998
272509,41013,1904,46.05,7.805555555555554
272510,41013,1905,44.78333333333333,7.101851851851851
272511,41013,1906,45.98333333333333,7.768518518518519
272512,41013,1907,44.9,7.166666666666667
272513,41013,1908,44.85,7.138888888888889
272514,41013,1909,43.766666666666666,6.537037037037036
272515,41013,1910,44.825,7.125000000000002
272516,41013,1911,42.81666666666667,6.009259259259261
272517,41013,1912,43.025,6.124999999999999
272518,41013,1913,43.34166666666667,6.300925925925927
